"title";"videoTitle";"movieID";"country";"bookmark";"duration";"date";"deviceType";"dateStr";"index";"topNodeId";"series";"seriesTitle";"seasonDescriptor";"episodeTitle";"estRating"
"Season 2: ""Beryl""";"Beryl";"80149008";"DE";"833";"3660";"1606683902538";"1222";"11/29/20";"0";"80025678";"80025678";"The Crown";"Season 2";"Beryl";"50"
"Season 2: ""Lisbon""";"Lisbon";"80149007";"DE";"3258";"3384";"1606595585563";"1222";"11/28/20";"1";"80025678";"80025678";"The Crown";"Season 2";"Lisbon";"50"
"Season 2: ""A Company of Men""";"A Company of Men";"80149006";"DE";"3167";"3296";"1606581692356";"1222";"11/28/20";"2";"80025678";"80025678";"The Crown";"Season 2";"A Company of Men";"50"
"Season 2: ""Misadventure""";"Misadventure";"80149005";"DE";"3286";"3414";"1606510063127";"1222";"11/27/20";"3";"80025678";"80025678";"The Crown";"Season 2";"Misadventure";"50"
"Season 1: ""Gloriana""";"Gloriana";"80025766";"DE";"3213";"3310";"1606509521119";"1222";"11/27/20";"4";"80025678";"80025678";"The Crown";"Season 1";"Gloriana";"50"
"War Machine";"War Machine";"80068327";"RU";"6917";"7366";"1606502807717";"1812";"11/27/20";"5";"80068327";;;;;"15"
"Seven";"Seven";"950149";"DE";"7211";"7606";"1606435371733";"1222";"11/27/20";"6";"950149";;;;;"29"
"Season 3: ""Cri de Coeur""";"Cri de Coeur";"80215740";"DE";"1";"3532";"1606338576753";"1222";"11/25/20";"7";"80025678";"80025678";"The Crown";"Season 3";"Cri de Coeur";"50"
"Season 1: ""Assassins""";"Assassins";"80025765";"DE";"3546";"3640";"1606335175411";"1222";"11/25/20";"8";"80025678";"80025678";"The Crown";"Season 1";"Assassins";"50"
"Season 1: ""Pride & Joy""";"Pride & Joy";"80025764";"DE";"3433";"3528";"1606255784697";"1222";"11/24/20";"9";"80025678";"80025678";"The Crown";"Season 1";"Pride & Joy";"50"
"Season 1: ""Scientia Potentia Est""";"Scientia Potentia Est";"80025763";"DE";"3441";"3536";"1606250561568";"1222";"11/24/20";"10";"80025678";"80025678";"The Crown";"Season 1";"Scientia Potentia Est";"50"
"Season 1: ""Gelignite""";"Gelignite";"80025762";"DE";"3415";"3510";"1606248448535";"1222";"11/24/20";"11";"80025678";"80025678";"The Crown";"Season 1";"Gelignite";"50"
"Season 1: ""Smoke and Mirrors""";"Smoke and Mirrors";"80025761";"DE";"3241";"3336";"1606163822853";"1222";"11/23/20";"12";"80025678";"80025678";"The Crown";"Season 1";"Smoke and Mirrors";"50"
"Season 1: ""Part 2""";"Part 2";"80189026";"DE";"4915";"4989";"1606147417578";"1222";"11/23/20";"13";"80189024";"80189024";"The Story of Diana";"Season 1";"Part 2";"33"
"Season 1: ""Part 1""";"Part 1";"80189025";"DE";"4933";"4995";"1606078748255";"1222";"11/22/20";"14";"80189024";"80189024";"The Story of Diana";"Season 1";"Part 1";"33"
"Season 1: ""Freedom""";"Freedom";"81027034";"DE";"4149";"4376";"1605992183411";"1222";"11/21/20";"15";"80211686";"80211686";"Grand Army";"Season 1";"Freedom";"34"
"Season 4: ""Favourites""";"Favourites";"80215491";"RU";"3446";"3624";"1605983819518";"1812";"11/21/20";"16";"80025678";"80025678";"The Crown";"Season 4";"Favourites";"50"
"Season 4: ""Fairytale""";"Fairytale";"80215490";"RU";"3222";"3396";"1605981561535";"1812";"11/21/20";"17";"80025678";"80025678";"The Crown";"Season 4";"Fairytale";"50"
"Season 4: ""The Balmoral Test""";"The Balmoral Test";"80215489";"RU";"3252";"3428";"1605900154393";"1812";"11/20/20";"18";"80025678";"80025678";"The Crown";"Season 4";"The Balmoral Test";"50"
"Season 4: ""Gold Stick""";"Gold Stick";"80215488";"RU";"3074";"3252";"1605897075516";"1812";"11/20/20";"19";"80025678";"80025678";"The Crown";"Season 4";"Gold Stick";"50"
"Season 1: ""Spirit Day""";"Spirit Day";"81027033";"DE";"2833";"3049";"1605734668034";"1222";"11/18/20";"20";"80211686";"80211686";"Grand Army";"Season 1";"Spirit Day";"34"
"Season 1: ""Making Moves""";"Making Moves";"81027032";"DE";"2808";"3027";"1605645161833";"1222";"11/17/20";"21";"80211686";"80211686";"Grand Army";"Season 1";"Making Moves";"34"
"Season 1: ""Superman This S**t""";"Superman This S**t";"81027030";"DE";"2872";"3085";"1605560438442";"1222";"11/16/20";"22";"80211686";"80211686";"Grand Army";"Season 1";"Superman This S**t";"34"
"Season 1: ""Valentine's Day""";"Valentine's Day";"81027029";"DE";"2609";"2843";"1605382036822";"1222";"11/14/20";"23";"80211686";"80211686";"Grand Army";"Season 1";"Valentine's Day";"34"
"Season 1: ""Safety On""";"Safety On";"81027028";"DE";"3032";"3265";"1605217482231";"1222";"11/12/20";"24";"80211686";"80211686";"Grand Army";"Season 1";"Safety On";"34"
"Season 1: ""Relationship Goals""";"Relationship Goals";"81027027";"DE";"2972";"3169";"1605215257929";"1222";"11/12/20";"25";"80211686";"80211686";"Grand Army";"Season 1";"Relationship Goals";"34"
"Season 1: ""See Me""";"See Me";"81027026";"DE";"2809";"3011";"1605206866219";"1222";"11/12/20";"26";"80211686";"80211686";"Grand Army";"Season 1";"See Me";"34"
"Season 1: ""Brooklyn, 2020""";"Brooklyn, 2020";"80211780";"DE";"2938";"3141";"1605191776369";"1222";"11/12/20";"27";"80211686";"80211686";"Grand Army";"Season 1";"Brooklyn, 2020";"34"
"Season 1: ""The Present, Eternity and the Action Plan""";"The Present, Eternity and the Action Plan";"81172829";"DE";"1871";"2002";"1605132471683";"1222";"11/11/20";"28";"81069541";"81069541";"Love & Anarchy";"Season 1";"The Present, Eternity and the Action Plan";"38"
"Season 1: ""Ayahuasca""";"Ayahuasca";"81172828";"DE";"1491";"1620";"1605128945307";"1222";"11/11/20";"29";"81069541";"81069541";"Love & Anarchy";"Season 1";"Ayahuasca";"38"
"Season 1: ""Regrets""";"Regrets";"81172827";"DE";"1604";"1724";"1605045449979";"1222";"11/10/20";"30";"81069541";"81069541";"Love & Anarchy";"Season 1";"Regrets";"38"
"Season 1: ""The Book Fair""";"The Book Fair";"81172826";"DE";"1603";"1718";"1605039358348";"1222";"11/10/20";"31";"81069541";"81069541";"Love & Anarchy";"Season 1";"The Book Fair";"38"
"Season 1: ""Permanent Employment""";"Permanent Employment";"81172825";"DE";"1621";"1742";"1605030998538";"1222";"11/10/20";"32";"81069541";"81069541";"Love & Anarchy";"Season 1";"Permanent Employment";"38"
"Season 1: ""StreamUs""";"StreamUs";"81172824";"DE";"1609";"1720";"1604951859101";"1222";"11/9/20";"33";"81069541";"81069541";"Love & Anarchy";"Season 1";"StreamUs";"38"
"Season 1: ""Surprise Me""";"Surprise Me";"81172823";"DE";"1436";"1556";"1604947985321";"1222";"11/9/20";"34";"81069541";"81069541";"Love & Anarchy";"Season 1";"Surprise Me";"38"
"Season 1: ""How It All Began""";"How It All Began";"81172822";"DE";"1895";"2012";"1604943142220";"1222";"11/9/20";"35";"81069541";"81069541";"Love & Anarchy";"Season 1";"How It All Began";"38"
