"title";"videoTitle";"movieID";"country";"bookmark";"duration";"date";"deviceType";"dateStr";"index";"topNodeId";"estRating"
"Three Identical Strangers";"Three Identical Strangers";"80240088";"RU";"5750";"5819";"1607886602691";"1222";"12/13/20";"0";"80240088";"42"
"Season 1: ""Episode 16""";"Episode 16";"80166275";"RU";"3197";"3218";"1607543481582";"1222";"12/9/20";"1";"80166471";"49"
"Season 1: ""Episode 15""";"Episode 15";"80166274";"RU";"3185";"3216";"1607539840655";"1222";"12/9/20";"2";"80166471";"49"
"Season 1: ""Episode 14""";"Episode 14";"80166273";"RU";"3199";"3228";"1607459067543";"1222";"12/8/20";"3";"80166471";"49"
"Season 1: ""Episode 13""";"Episode 13";"80166272";"RU";"3104";"3137";"1607455570759";"1222";"12/8/20";"4";"80166471";"49"
"Season 1: ""Episode 12""";"Episode 12";"80166271";"RU";"2974";"3017";"1607452075968";"1222";"12/8/20";"5";"80166471";"49"
"Season 1: ""Episode 11""";"Episode 11";"80166270";"RU";"3074";"3117";"1607441364858";"1222";"12/8/20";"6";"80166471";"49"
"Season 1: ""Episode 10""";"Episode 10";"80166269";"RU";"3166";"3209";"1607373995732";"1222";"12/7/20";"7";"80166471";"49"
"Season 1: ""Episode 9""";"Episode 9";"80166268";"RU";"3158";"3190";"1607367870629";"1222";"12/7/20";"8";"80166471";"49"
"Season 1: ""Episode 8""";"Episode 8";"80166267";"RU";"3115";"3158";"1607289713434";"1222";"12/7/20";"9";"80166471";"49"
"Season 1: ""Episode 7""";"Episode 7";"80166266";"RU";"3080";"3111";"1607286382698";"1222";"12/6/20";"10";"80166471";"49"
"Season 1: ""Episode 6""";"Episode 6";"80166265";"RU";"3072";"3114";"1607282586744";"1222";"12/6/20";"11";"80166471";"49"
"Season 1: ""Episode 5""";"Episode 5";"80166264";"RU";"3144";"3170";"1607125141349";"1222";"12/5/20";"12";"80166471";"49"
"Season 1: ""Episode 4""";"Episode 4";"80166263";"RU";"3007";"3049";"1607121979845";"1222";"12/5/20";"13";"80166471";"49"
"Season 1: ""Episode 3""";"Episode 3";"80166262";"RU";"3086";"3117";"1607118914443";"1222";"12/5/20";"14";"80166471";"49"
"Season 1: ""Episode 2""";"Episode 2";"80166261";"RU";"3179";"3207";"1607114684026";"1222";"12/4/20";"15";"80166471";"49"
"Season 1: ""Episode 1""";"Episode 1";"80166260";"RU";"2813";"2836";"1607110667694";"1222";"12/4/20";"16";"80166471";"49"
"Season 1: ""Wolferton Splash""";"Wolferton Splash";"80025757";"RU";"2";"3416";"1606728963463";"1222";"11/30/20";"17";"80025678";"49"
"Season 1: ""The One with the Sonogram at the End""";"The One with the Sonogram at the End";"70273998";"RU";"114";"1367";"1604950716841";"1222";"11/9/20";"18";"70153404";"30"
"Season 1: ""Episode 2""";"Episode 2";"81306386";"RU";"164";"2626";"1603314328143";"1222";"10/22/20";"19";"81302258";"49"
"Season 1: ""Episode 1""";"Episode 1";"81306385";"RU";"3309";"3356";"1603310718659";"1222";"10/21/20";"20";"81302258";"49"
"Limited Series: ""Cat and Mouse""";"Cat and Mouse";"81031766";"RU";"13";"3936";"1602348450880";"1222";"10/10/20";"21";"81031373";"42"
"Season 1: ""The One Where Monica Gets a Roommate (Pilot)""";"The One Where Monica Gets a Roommate (Pilot)";"70273997";"RU";"327";"1364";"1602347375510";"1222";"10/10/20";"22";"70153404";"30"
"The Social Dilemma";"The Social Dilemma";"81254224";"RU";"5616";"5676";"1601398845661";"2890";"9/29/20";"23";"81254224";"42"
"Season 1: ""Episode 1""";"Episode 1";"80003008";"RU";"3";"3428";"1599338657546";"1222";"9/5/20";"24";"80002479";"49"
"Season 1: ""Secrets""";"Secrets";"80114790";"RU";"3";"3092";"1596450293537";"1222";"8/3/20";"25";"80100172";"49"
"Limited Series: ""The Tiger King and I""";"The Tiger King and I";"81276913";"RU";"2396";"2418";"1591393903705";"1222";"6/6/20";"26";"81115994";"26"
"Limited Series: ""Dethroned""";"Dethroned";"81232944";"RU";"5";"2488";"1591393897076";"1222";"6/6/20";"27";"81115994";"26"
"Limited Series: ""The Noble Thing to Do""";"The Noble Thing to Do";"81130225";"RU";"2506";"2661";"1591302289024";"1222";"6/4/20";"28";"81115994";"26"
"Limited Series: ""Make America Exotic Again""";"Make America Exotic Again";"81130224";"RU";"2456";"2614";"1591299255069";"1222";"6/4/20";"29";"81115994";"26"
"Season 1: ""Novo Mundo""";"Novo Mundo";"80216899";"RU";"13";"2820";"1590880216954";"1222";"5/31/20";"30";"80144355";"30"
"Season 1: ""PROPORTIONATE RESPONSE""";"PROPORTIONATE RESPONSE";"81115915";"RU";"2006";"2174";"1590877873006";"1222";"5/31/20";"31";"81021929";"19"
"Season 1: ""IT’S GOOD TO BE BACK ON THE MOON""";"IT’S GOOD TO BE BACK ON THE MOON";"81115914";"RU";"1936";"2108";"1590875671495";"1222";"5/31/20";"32";"81021929";"19"
"Season 1: ""CONJUGAL VISIT""";"CONJUGAL VISIT";"81115913";"RU";"1767";"1936";"1590873673457";"1222";"5/31/20";"33";"81021929";"19"
"Season 1: ""EDISON JAYMES""";"EDISON JAYMES";"81115912";"RU";"1499";"1660";"1590871582942";"1222";"5/30/20";"34";"81021929";"19"
"Season 1: ""THE SPY""";"THE SPY";"81115911";"RU";"1922";"2092";"1590789713430";"1222";"5/30/20";"35";"81021929";"19"
"Season 1: ""SPACE FLAG""";"SPACE FLAG";"81115910";"RU";"1658";"1822";"1590788050324";"1222";"5/30/20";"36";"81021929";"19"
"Season 1: ""LUNAR HABITAT""";"LUNAR HABITAT";"81115909";"RU";"1";"1964";"1590788037422";"1222";"5/30/20";"37";"81021929";"19"
"Season 1: ""MARK AND MALLORY GO TO WASHINGTON""";"MARK AND MALLORY GO TO WASHINGTON";"81115908";"RU";"1656";"1828";"1590784122939";"1222";"5/29/20";"38";"81021929";"19"
"Season 1: ""SAVE EPSILON 6!""";"SAVE EPSILON 6!";"81115907";"RU";"1763";"1932";"1590782237672";"1222";"5/29/20";"39";"81021929";"19"
"Season 1: ""THE LAUNCH""";"THE LAUNCH";"81073545";"RU";"2060";"2206";"1590779673878";"1222";"5/29/20";"40";"81021929";"19"
"Limited Series: ""Playing with Fire""";"Playing with Fire";"81130223";"RU";"2595";"2749";"1590612705391";"1222";"5/27/20";"41";"81115994";"26"
"Limited Series: ""The Secret""";"The Secret";"81130222";"RU";"2653";"2809";"1590438673424";"1222";"5/25/20";"42";"81115994";"26"
"Limited Series: ""Cult of Personality""";"Cult of Personality";"81130221";"RU";"2683";"2837";"1590270336446";"1222";"5/24/20";"43";"81115994";"26"
